ano,sigla_uf,id_municipio,id_escola,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2019,RO,1100205,11000058,privada,medio,todos (1-4),,,,,,,
2019,RO,1100205,11000244,privada,medio,todos (1-4),,,,,,,
2023,RO,1100205,11000252,privada,medio,todos (1-4),,,,,,,
2011,RO,1100205,11000260,estadual,fundamental,finais (6-9),"78,6","0,78542697",,,,,"4,6"
2021,RO,1100205,11000295,estadual,fundamental,iniciais (1-5),,,,,,,"6,6"
2017,RO,1100205,11000368,municipal,fundamental,finais (6-9),"90,2","0,90200001",,,,,"4,4"
2021,RO,1100205,11000384,estadual,medio,todos (1-4),"82,6","0,827631",,,,,
2017,RO,1100205,11000384,estadual,fundamental,finais (6-9),"88,2","0,88200003",,,,,"5,1"
2019,RO,1100205,11000384,estadual,medio,todos (1-4),"62,1","0,63616502",,,,,
2017,RO,1100205,11000457,estadual,medio,todos (1-4),"86,4","0,884588",,,,,
2019,RO,1100205,11000457,estadual,medio,todos (1-4),"69,7","0,699525",,,,,
2023,RO,1100205,11000465,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100205,11000465,municipal,fundamental,iniciais (1-5),,,,,,,"5,9"
2013,RO,1100205,11000465,municipal,fundamental,iniciais (1-5),,,,,,,"4,7"
2021,RO,1100205,11000554,estadual,medio,todos (1-4),"69,8","0,705981",,,,,"3,8"
2017,RO,1100346,11000589,municipal,fundamental,iniciais (1-5),100,1,,,,,"4,9"
2021,RO,1100346,11000589,municipal,fundamental,iniciais (1-5),,,,,,,"5,5"
2011,RO,1100346,11000589,municipal,fundamental,iniciais (1-5),,,,,,,"4,1"
2023,RO,1100346,11000589,municipal,fundamental,finais (6-9),,,,,,,
2023,RO,1100205,11000597,estadual,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100205,11000597,estadual,fundamental,iniciais (1-5),,,,,,,"5,4"
2021,RO,1100205,11000660,municipal,fundamental,iniciais (1-5),100,1,,,,,"5,6"
2023,RO,1100205,11000678,estadual,fundamental,finais (6-9),,,,,,,
2021,RO,1100205,11000678,estadual,fundamental,finais (6-9),,,,,,,"4,6"
2017,RO,1100205,11000708,estadual,medio,todos (1-4),"77,7","0,782592",,,,,
2023,RO,1100205,11000848,estadual,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100205,11000864,municipal,fundamental,finais (6-9),,,,,,,"4,2"
2021,RO,1100205,11000910,estadual,fundamental,finais (6-9),,,,,,,"6,5"
2007,RO,1100205,11000910,estadual,fundamental,iniciais (1-5),,,,,,,
2005,RO,1100205,11000910,estadual,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100205,11000937,estadual,medio,todos (1-4),,,,,,,"4,1"
2019,RO,1100205,11000937,estadual,medio,todos (1-4),,,,,,,"3,8"
2017,RO,1100205,11000937,estadual,fundamental,iniciais (1-5),,,,,,,"5,4"
2021,RO,1100205,11000937,estadual,fundamental,iniciais (1-5),,,,,,,"5,9"
2021,RO,1100205,11000970,estadual,fundamental,iniciais (1-5),,,,,,,"6,9"
2021,RO,1100205,11001003,municipal,fundamental,iniciais (1-5),"99,6","0,996582",,,,,"5,3"
2017,RO,1100205,11001003,municipal,fundamental,finais (6-9),,,,,,,"4,6"
2019,RO,1100205,11001003,municipal,fundamental,finais (6-9),,,,,,,"4,8"
2007,RO,1100205,11001011,municipal,fundamental,finais (6-9),,,,,,,
2019,RO,1100205,11001011,municipal,fundamental,iniciais (1-5),,,"190,88","180,83","4,8949919",,"5,1"
2021,RO,1100205,11001046,estadual,medio,todos (1-4),"81,5","0,812935",,,,,
2017,RO,1100205,11001135,estadual,medio,todos (1-4),"90,4","0,92203099",,,,,
2021,RO,1100205,11001143,estadual,fundamental,iniciais (1-5),"92,7","0,929593",,,,,"5,8"
2019,RO,1100205,11001160,estadual,fundamental,finais (6-9),"88,1","0,882016",,,,,"4,7"
2021,RO,1100205,11001178,estadual,fundamental,iniciais (1-5),100,1,,,,,"6,1"
2007,RO,1100205,11001186,municipal,fundamental,iniciais (1-5),,,,,,,
2007,RO,1100205,11001267,municipal,fundamental,iniciais (1-5),,,,,,,
2017,RO,1100205,11001283,estadual,medio,todos (1-4),"89,5","0,90882099",,,,,
2017,RO,1100205,11001305,estadual,medio,todos (1-4),75,"0,78628403",,,,,
2019,RO,1100205,11001313,municipal,fundamental,iniciais (1-5),"98,4","0,98587698",,,,,"5,3"
2023,RO,1100205,11001364,estadual,fundamental,iniciais (1-5),,,,,,,
2015,RO,1100205,11001364,estadual,fundamental,iniciais (1-5),100,1,,,,,"4,8"
2007,RO,1100205,11001445,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100205,11001496,estadual,fundamental,finais (6-9),"95,1","0,950482",,,,,"4,9"
2013,RO,1100205,11001496,estadual,fundamental,iniciais (1-5),"62,5","0,625",,,,,"3,5"
2021,RO,1100205,11001496,estadual,medio,todos (1-4),"83,5","0,865869",,,,,"2,9"
2019,RO,1100205,11001526,estadual,fundamental,iniciais (1-5),,,,,,,"5,4"
2021,RO,1100205,11001640,estadual,fundamental,iniciais (1-5),,,,,,,"5,9"
2015,RO,1100205,11001810,estadual,fundamental,finais (6-9),"87,6","0,89365399",,,,,"3,8"
2011,RO,1100205,11001810,estadual,fundamental,iniciais (1-5),,,,,,,
2005,RO,1100205,11001810,estadual,fundamental,finais (6-9),,,,,,,
2015,RO,1100205,11001909,estadual,fundamental,iniciais (1-5),,,,,,,
2015,RO,1100205,11001909,estadual,fundamental,finais (6-9),,,,,,,
2013,RO,1100205,11001909,estadual,fundamental,iniciais (1-5),,,,,,,
2009,RO,1100205,11001909,estadual,fundamental,iniciais (1-5),,,,,,,
2007,RO,1100205,11001968,municipal,fundamental,finais (6-9),,,,,,,"3,7"
2021,RO,1100205,11001968,municipal,fundamental,iniciais (1-5),"99,2","0,992103",,,,,"5,6"
2017,RO,1100205,11001968,municipal,fundamental,finais (6-9),,,,,,,"5,1"
2013,RO,1100205,11001992,estadual,fundamental,finais (6-9),,,,,,,"4,1"
2007,RO,1100205,11001992,estadual,fundamental,iniciais (1-5),,,,,,,"3,7"
2015,RO,1100205,11001992,estadual,fundamental,iniciais (1-5),,,,,,,5
2007,RO,1100205,11002000,estadual,fundamental,finais (6-9),,,,,,,
2019,RO,1100205,11002000,estadual,fundamental,iniciais (1-5),,,,,,,"5,7"
2021,RO,1100205,11002018,estadual,medio,todos (1-4),"67,8","0,661611",,,,,"3,3"
2019,RO,1100205,11002018,estadual,fundamental,iniciais (1-5),,,,,,,"5,2"
2019,RO,1100205,11002042,municipal,fundamental,iniciais (1-5),,,,,,,"4,7"
2021,RO,1100205,11002042,municipal,fundamental,iniciais (1-5),"98,4","0,990017",,,,,5
2019,RO,1100205,11002166,estadual,fundamental,iniciais (1-5),,,,,,,"5,3"
2019,RO,1100205,11002166,estadual,fundamental,finais (6-9),,,,,,,"5,4"
2023,RO,1100205,11002255,estadual,fundamental,iniciais (1-5),,,,,,,
2005,RO,1100205,11002301,estadual,fundamental,finais (6-9),,,,,,,
2007,RO,1100205,11002328,estadual,fundamental,finais (6-9),,,,,,,
2009,RO,1100205,11002328,estadual,fundamental,finais (6-9),,,,,,,
2021,RO,1100205,11002328,estadual,fundamental,iniciais (1-5),,,,,,,"5,4"
2005,RO,1100205,11002328,estadual,fundamental,finais (6-9),,,,,,,
2023,RO,1100205,11002441,estadual,fundamental,iniciais (1-5),,,,,,,
2023,RO,1100205,11002468,estadual,fundamental,iniciais (1-5),,,,,,,
2009,RO,1100205,11002468,estadual,fundamental,iniciais (1-5),,,,,,,"4,5"
2017,RO,1100205,11002476,estadual,medio,todos (1-4),"74,3","0,79827201",,,,,
2017,RO,1100205,11002506,estadual,medio,todos (1-4),"85,5","0,85700297",,,,,
2013,RO,1100205,11002514,estadual,fundamental,iniciais (1-5),,,,,,,"5,4"
2019,RO,1100205,11002514,estadual,medio,todos (1-4),"78,3","0,79118699",,,,,
2023,RO,1100205,11002514,estadual,fundamental,iniciais (1-5),,,,,,,
2011,RO,1100205,11002522,estadual,fundamental,iniciais (1-5),,,,,,,"5,2"
2021,RO,1100205,11002549,estadual,medio,todos (1-4),"76,6","0,768266",,,,,"3,8"
2017,RO,1100205,11003065,estadual,fundamental,iniciais (1-5),,,,,,,6
2023,RO,1100205,11003065,estadual,medio,todos (1-4),"89,2","0,892125",,,,,
2021,RO,1100205,11003065,estadual,fundamental,finais (6-9),,,,,,,"5,9"
2019,RO,1100205,11003138,municipal,fundamental,finais (6-9),,,,,,,"5,8"
2009,RO,1100205,11003138,municipal,fundamental,finais (6-9),,,,,,,"4,3"
2021,RO,1100205,11003197,estadual,fundamental,iniciais (1-5),"98,4","0,988876",,,,,"6,3"
2007,RO,1100205,11003324,municipal,fundamental,finais (6-9),,,,,,,
2009,RO,1100205,11003324,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100205,11003383,municipal,fundamental,iniciais (1-5),"98,5","0,986518",,,,,"5,1"
2017,RO,1100205,11003391,municipal,fundamental,iniciais (1-5),75,"0,74216402",,,,,"4,2"
2015,RO,1100205,11003391,municipal,fundamental,iniciais (1-5),,,,,,,"3,9"
2005,RO,1100205,11003391,municipal,fundamental,iniciais (1-5),,,,,,,
2009,RO,1100205,11003413,estadual,fundamental,finais (6-9),"34,5","0,39216399",,,,,"2,3"
2013,RO,1100205,11003413,estadual,fundamental,finais (6-9),"92,6","0,92685801",,,,,"3,7"
2021,RO,1100338,11003979,estadual,fundamental,iniciais (1-5),,,,,,,"5,9"
2021,RO,1100338,11003987,municipal,fundamental,iniciais (1-5),"88,5","0,887115",,,,,"5,6"
2021,RO,1100338,11003987,municipal,fundamental,finais (6-9),,,,,,,"5,2"
2007,RO,1100338,11004118,municipal,fundamental,finais (6-9),,,,,,,
2007,RO,1100338,11004240,municipal,fundamental,iniciais (1-5),,,,,,,
2005,RO,1100338,11004240,municipal,fundamental,iniciais (1-5),,,,,,,
2023,RO,1100338,11004274,estadual,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100338,11004274,estadual,fundamental,iniciais (1-5),,,,,,,6
2021,RO,1100452,11004428,estadual,fundamental,iniciais (1-5),,,,,,,"5,9"
2017,RO,1100452,11004428,estadual,medio,todos (1-4),89,"0,89095402",,,,,
2019,RO,1100700,11004452,municipal,fundamental,finais (6-9),,,,,,,"4,5"
2013,RO,1100700,11004606,municipal,fundamental,iniciais (1-5),,,,,,,4
2021,RO,1100809,11004860,municipal,fundamental,finais (6-9),,,,,,,"5,1"
2021,RO,1100809,11004860,municipal,fundamental,iniciais (1-5),"94,5","0,934294",,,,,"5,4"
2015,RO,1101104,11005092,municipal,fundamental,iniciais (1-5),,,,,,,
2019,RO,1101104,11005092,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1101104,11005092,municipal,fundamental,iniciais (1-5),,,,,,,
2009,RO,1101104,11005122,municipal,fundamental,iniciais (1-5),,,,,,,
2017,RO,1101104,11005122,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1101492,11005475,estadual,medio,todos (1-4),"86,3","0,864522",,,,,"4,5"
2023,RO,1101492,11005475,estadual,fundamental,iniciais (1-5),,,,,,,
2023,RO,1100080,11005610,municipal,fundamental,iniciais (1-5),,,,,,,
2005,RO,1100080,11005769,estadual,fundamental,finais (6-9),,,,,,,
2019,RO,1100080,11005769,estadual,fundamental,iniciais (1-5),,,,,,,"5,5"
2013,RO,1100080,11005823,estadual,fundamental,iniciais (1-5),,,,,,,"4,7"
2007,RO,1100106,11005890,estadual,fundamental,iniciais (1-5),,,,,,,
2017,RO,1100106,11005890,estadual,fundamental,iniciais (1-5),,,,,,,4
2015,RO,1100106,11005890,estadual,fundamental,iniciais (1-5),,,,,,,"3,7"
2019,RO,1100106,11005939,estadual,fundamental,iniciais (1-5),,,,,,,"5,9"
2021,RO,1100106,11005939,estadual,fundamental,iniciais (1-5),,,,,,,"6,2"
2017,RO,1100106,11005939,estadual,medio,todos (1-4),"70,6","0,69808799",,,,,
2023,RO,1100106,11005939,estadual,fundamental,iniciais (1-5),,,,,,,
2015,RO,1100106,11005939,estadual,fundamental,iniciais (1-5),,,,,,,"5,3"
2013,RO,1100106,11005939,estadual,fundamental,iniciais (1-5),,,,,,,"5,1"
2013,RO,1100106,11005947,municipal,fundamental,finais (6-9),"75,2","0,77648997",,,,,"3,1"
2019,RO,1100106,11005947,municipal,fundamental,finais (6-9),,,,,,,4
2021,RO,1100106,11005947,municipal,fundamental,iniciais (1-5),"84,3","0,868412",,,,,"4,9"
2009,RO,1100106,11005947,municipal,fundamental,finais (6-9),"61,8","0,66524398",,,,,"2,4"
2021,RO,1100106,11005947,municipal,fundamental,finais (6-9),,,,,,,"4,2"
2021,RO,1100106,11005980,estadual,fundamental,iniciais (1-5),,,,,,,"5,9"
2023,RO,1100106,11006048,estadual,fundamental,finais (6-9),,,,,,,
2023,RO,1100106,11006048,estadual,fundamental,iniciais (1-5),,,,,,,
2017,RO,1100106,11006048,estadual,fundamental,finais (6-9),,,,,,,"4,1"
2023,RO,1100106,11006129,estadual,fundamental,iniciais (1-5),,,,,,,
2015,RO,1100106,11006129,estadual,fundamental,iniciais (1-5),,,,,,,"3,7"
2021,RO,1100106,11006196,municipal,fundamental,iniciais (1-5),,,,,,,5
2019,RO,1100106,11006196,municipal,fundamental,iniciais (1-5),"89,1","0,90403903",,,,,"4,7"
2005,RO,1100106,11006412,estadual,fundamental,finais (6-9),,,,,,,
2017,RO,1100106,11006617,estadual,fundamental,iniciais (1-5),,,,,,,"5,9"
2015,RO,1100106,11006617,estadual,fundamental,iniciais (1-5),,,,,,,"5,7"
2019,RO,1100106,11006633,estadual,medio,todos (1-4),"81,4","0,811445",,,,,
2021,RO,1100106,11006641,estadual,fundamental,finais (6-9),,,,,,,"4,9"
2019,RO,1100106,11006684,estadual,fundamental,iniciais (1-5),,,,,,,"6,3"
2023,RO,1100106,11006706,privada,medio,todos (1-4),,,,,,,
2017,RO,1100023,11006773,estadual,medio,todos (1-4),,,,,,,
2021,RO,1100023,11006854,municipal,fundamental,iniciais (1-5),"90,4","0,869416",,,,,"5,5"
2021,RO,1100023,11006854,municipal,fundamental,finais (6-9),"91,8","0,920459",,,,,"5,4"
2019,RO,1100023,11006889,estadual,medio,todos (1-4),"70,3","0,71017098",,,,,"3,3"
2021,RO,1100023,11006889,estadual,fundamental,iniciais (1-5),,,,,,,6
2009,RO,1100023,11006900,municipal,fundamental,finais (6-9),,,,,,,
2017,RO,1100023,11006900,municipal,fundamental,iniciais (1-5),"89,3","0,89871502",,,,,"4,8"
2023,RO,1100023,11007079,municipal,fundamental,finais (6-9),,,,,,,
2015,RO,1100023,11007079,municipal,fundamental,finais (6-9),"74,9","0,75543702",,,,,"4,6"
2023,RO,1100023,11007168,estadual,fundamental,iniciais (1-5),,,,,,,
2013,RO,1100023,11007249,municipal,fundamental,finais (6-9),"78,4","0,78410298",,,,,4
2005,RO,1100023,11007249,municipal,fundamental,finais (6-9),,,,,,,
2017,RO,1100023,11007257,municipal,fundamental,iniciais (1-5),"88,5","0,88563597",,,,,5
2005,RO,1100023,11007281,estadual,fundamental,finais (6-9),,,,,,,
2019,RO,1100023,11007281,estadual,fundamental,iniciais (1-5),,,,,,,"5,9"
2007,RO,1100023,11007346,municipal,fundamental,iniciais (1-5),,,,,,,
2007,RO,1100023,11007346,municipal,fundamental,finais (6-9),,,,,,,
2007,RO,1100023,11007443,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100023,11007451,municipal,fundamental,finais (6-9),,,,,,,5
2021,RO,1100023,11007508,municipal,fundamental,iniciais (1-5),"94,6","0,95285",,,,,"5,3"
2007,RO,1100023,11007605,municipal,fundamental,iniciais (1-5),,,,,,,
2017,RO,1100023,11007605,municipal,fundamental,finais (6-9),"84,2","0,84528297",,,,,"3,7"
2021,RO,1100023,11007656,privada,medio,todos (1-4),,,,,,,"6,5"
2017,RO,1100023,11007702,municipal,fundamental,finais (6-9),"65,7","0,65727597",,,,,"4,7"
2017,RO,1100023,11007710,municipal,fundamental,iniciais (1-5),"88,1","0,87660998",,,,,5
2021,RO,1100023,11007737,municipal,fundamental,finais (6-9),,,,,,,"5,2"
2013,RO,1100023,11007893,estadual,fundamental,iniciais (1-5),,,,,,,"5,7"
2021,RO,1100023,11007907,municipal,fundamental,iniciais (1-5),"95,8","0,953665",,,,,"6,7"
2017,RO,1100023,11007958,municipal,fundamental,iniciais (1-5),,,,,,,"5,3"
2005,RO,1100023,11007958,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100130,11008008,estadual,medio,todos (1-4),,,,,,,
2019,RO,1100130,11008008,estadual,medio,todos (1-4),"81,5","0,81418198",,,,,
2009,RO,1100130,11008598,municipal,fundamental,iniciais (1-5),"96,9","0,88903701",,,,,"3,6"
2015,RO,1101757,11008822,municipal,fundamental,iniciais (1-5),,,,,,,
2017,RO,1101757,11008822,municipal,fundamental,iniciais (1-5),,,,,,,
2007,RO,1101757,11008822,municipal,fundamental,iniciais (1-5),,,,,,,
2005,RO,1101757,11008938,municipal,fundamental,finais (6-9),,,,,,,
2021,RO,1101757,11008938,municipal,fundamental,iniciais (1-5),"88,8","0,86924",,,,,"5,7"
2017,RO,1101757,11008938,municipal,fundamental,finais (6-9),"73,8","0,73644203",,,,,"4,5"
2007,RO,1101757,11008989,municipal,fundamental,iniciais (1-5),,,,,,,
2005,RO,1101757,11008989,municipal,fundamental,iniciais (1-5),,,,,,,
2005,RO,1100130,11009047,municipal,fundamental,finais (6-9),,,,,,,
2021,RO,1100130,11009047,municipal,fundamental,iniciais (1-5),"98,8","0,990127",,,,,"5,3"
2007,RO,1100130,11009047,municipal,fundamental,finais (6-9),,,,,,,
2009,RO,1100940,11009136,municipal,fundamental,finais (6-9),,,,,,,
2007,RO,1100940,11009136,municipal,fundamental,finais (6-9),,,,,,,
2013,RO,1100940,11009136,municipal,fundamental,finais (6-9),"67,9","0,70237398",,,,,
2019,RO,1100262,11009306,estadual,fundamental,iniciais (1-5),,,,,,,"5,3"
2021,RO,1100940,11009543,municipal,fundamental,finais (6-9),,,,,,,5
2017,RO,1100403,11009888,estadual,fundamental,iniciais (1-5),,,,,,,"4,9"
2017,RO,1100403,11009888,estadual,medio,todos (1-4),"79,1","0,79226398",,,,,
2009,RO,1100403,11009888,estadual,fundamental,iniciais (1-5),"92,7","0,954512",,,,,"3,6"
2007,RO,1100403,11009918,municipal,fundamental,finais (6-9),,,,,,,
2005,RO,1100403,11009950,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100403,11009950,municipal,fundamental,iniciais (1-5),100,1,,,,,"5,3"
2009,RO,1100403,11009977,municipal,fundamental,iniciais (1-5),,,,,,,
2023,RO,1100403,11010037,municipal,fundamental,iniciais (1-5),,,,,,,
2007,RO,1100403,11010037,municipal,fundamental,finais (6-9),,,,,,,
2023,RO,1100403,11010126,municipal,fundamental,iniciais (1-5),"94,7","0,952758",,,,,
2005,RO,1100403,11010126,municipal,fundamental,finais (6-9),,,,,,,
2007,RO,1101401,11011106,municipal,fundamental,finais (6-9),,,,,,,
2017,RO,1101401,11011106,municipal,fundamental,finais (6-9),,,,,,,"4,6"
2015,RO,1101401,11011106,municipal,fundamental,iniciais (1-5),,,,,,,"5,3"
2019,RO,1100114,11011491,estadual,fundamental,finais (6-9),,,,,,,"5,2"
2017,RO,1100114,11011491,estadual,fundamental,finais (6-9),,,,,,,"4,9"
2015,RO,1100114,11011998,municipal,fundamental,finais (6-9),,,,,,,"4,6"
2017,RO,1100114,11011998,municipal,fundamental,finais (6-9),"92,3","0,92299998",,,,,"4,8"
2005,RO,1100114,11012099,estadual,fundamental,finais (6-9),,,,,,,
2021,RO,1100114,11012099,estadual,fundamental,iniciais (1-5),,,,,,,"5,2"
2019,RO,1100114,11012099,estadual,medio,todos (1-4),,,,,,,"4,3"
2015,RO,1100114,11012110,municipal,fundamental,finais (6-9),,,,,,,"2,9"
2017,RO,1100114,11012110,municipal,fundamental,finais (6-9),,,,,,,"3,2"
2007,RO,1100114,11012110,municipal,fundamental,finais (6-9),,,,,,,
2005,RO,1100114,11012145,estadual,fundamental,iniciais (1-5),,,,,,,
2011,RO,1100114,11012145,estadual,fundamental,finais (6-9),,,,,,,
2015,RO,1100114,11012145,estadual,fundamental,finais (6-9),,,,,,,
2007,RO,1100114,11012170,municipal,fundamental,finais (6-9),,,,,,,
2005,RO,1100114,11012269,municipal,fundamental,iniciais (1-5),,,,,,,
2011,RO,1100114,11012269,municipal,fundamental,iniciais (1-5),,,,,,,
2005,RO,1100114,11012269,municipal,fundamental,finais (6-9),,,,,,,
2011,RO,1100114,11012277,estadual,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100114,11012277,estadual,medio,todos (1-4),100,1,,,,,5
2011,RO,1100114,11012323,municipal,fundamental,finais (6-9),"86,7","0,870112",,,,,"4,3"
