ano,sigla_uf,id_municipio,id_escola,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2013,RO,1100114,11012323,municipal,fundamental,finais (6-9),"77,9","0,76385498",,,,,"4,7"
2023,RO,1100114,11012323,municipal,fundamental,finais (6-9),,,,,,,
2011,RO,1100114,11012382,estadual,fundamental,finais (6-9),,,,,,,
2015,RO,1100114,11012382,estadual,fundamental,finais (6-9),,,,,,,
2009,RO,1100114,11012382,estadual,fundamental,finais (6-9),,,,,,,
2017,RO,1100114,11012382,estadual,fundamental,finais (6-9),,,,,,,
2021,RO,1100114,11012579,estadual,fundamental,iniciais (1-5),,,,,,,"6,8"
2023,RO,1100114,11012684,estadual,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100122,11013419,municipal,fundamental,iniciais (1-5),"99,5","0,996141",,,,,"5,9"
2021,RO,1100122,11013494,estadual,fundamental,iniciais (1-5),"99,1","0,990486",,,,,6
2011,RO,1100122,11013494,estadual,fundamental,iniciais (1-5),"86,8","0,86632597",,,,,"4,6"
2013,RO,1100122,11013508,municipal,fundamental,iniciais (1-5),,,,,,,"4,9"
2017,RO,1100122,11013591,estadual,fundamental,iniciais (1-5),"94,6","0,94913399",,,,,"5,5"
2023,RO,1100122,11013737,privada,medio,todos (1-4),,,,,,,
2013,RO,1100122,11013907,estadual,fundamental,finais (6-9),,,,,,,"4,1"
2011,RO,1100122,11013907,estadual,fundamental,iniciais (1-5),,,,,,,"4,4"
2023,RO,1100122,11014156,estadual,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100122,11014156,estadual,medio,todos (1-4),100,1,,,,,"4,1"
2019,RO,1100122,11014300,estadual,medio,todos (1-4),,,,,,,"2,4"
2007,RO,1100122,11014636,estadual,fundamental,finais (6-9),,,,,,,
2009,RO,1100122,11014636,estadual,fundamental,finais (6-9),,,,,,,
2005,RO,1100122,11014636,estadual,fundamental,finais (6-9),,,,,,,
2023,RO,1100122,11014741,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100122,11014806,estadual,fundamental,finais (6-9),100,1,,,,,"5,7"
2005,RO,1100122,11014806,estadual,fundamental,finais (6-9),,,,,,,
2007,RO,1100122,11014806,estadual,fundamental,finais (6-9),,,,,,,
2021,RO,1100122,11015357,estadual,fundamental,iniciais (1-5),"96,5","0,968278",,,,,"6,1"
2023,RO,1100122,11015411,estadual,fundamental,finais (6-9),,,,,,,
2021,RO,1100122,11015411,estadual,fundamental,iniciais (1-5),100,1,,,,,"5,4"
2011,RO,1100122,11015500,estadual,fundamental,finais (6-9),"66,4","0,62566799",,,,,"3,2"
2007,RO,1100122,11015500,estadual,fundamental,iniciais (1-5),,,,,,,
2005,RO,1100122,11015500,estadual,fundamental,finais (6-9),,,,,,,
2021,RO,1100122,11015624,estadual,medio,todos (1-4),"84,2","0,839041",,,,,"5,3"
2021,RO,1100122,11015896,privada,medio,todos (1-4),,,,,,,
2015,RO,1100155,11016299,municipal,fundamental,iniciais (1-5),,,,,,,"4,7"
2023,RO,1100155,11016329,municipal,fundamental,iniciais (1-5),,,,,,,
2005,RO,1101435,11016469,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100155,11016817,municipal,fundamental,finais (6-9),,,,,,,5
2005,RO,1100155,11016817,municipal,fundamental,finais (6-9),,,,,,,
2023,RO,1100155,11016817,municipal,fundamental,finais (6-9),,,,,,,
2015,RO,1100155,11016817,municipal,fundamental,finais (6-9),,,,,,,"4,2"
2007,RO,1101559,11016850,municipal,fundamental,finais (6-9),,,,,,,
2023,RO,1101559,11016850,municipal,fundamental,finais (6-9),,,,,,,
2021,RO,1100155,11016973,estadual,fundamental,iniciais (1-5),,,,,,,"5,1"
2019,RO,1100155,11016973,estadual,fundamental,iniciais (1-5),,,,,,,"4,8"
2019,RO,1100155,11016973,estadual,fundamental,finais (6-9),,,,,,,"4,6"
2021,RO,1100155,11016973,estadual,fundamental,finais (6-9),,,,,,,"4,9"
2015,RO,1100155,11017104,municipal,fundamental,finais (6-9),"83,5","0,83415002",,,,,"3,5"
2023,RO,1100155,11017104,municipal,fundamental,finais (6-9),,,,,,,
2019,RO,1100155,11017104,municipal,fundamental,finais (6-9),,,,,,,"4,1"
2009,RO,1100155,11017112,municipal,fundamental,iniciais (1-5),,,,,,,
2011,RO,1100155,11017112,municipal,fundamental,iniciais (1-5),,,,,,,
2007,RO,1100155,11017112,municipal,fundamental,iniciais (1-5),,,,,,,
2005,RO,1100155,11017112,municipal,fundamental,finais (6-9),,,,,,,
2021,RO,1101435,11017120,estadual,fundamental,iniciais (1-5),,,,,,,"5,1"
2017,RO,1101435,11017120,estadual,fundamental,iniciais (1-5),,,,,,,"4,5"
2023,RO,1100155,11017201,estadual,fundamental,iniciais (1-5),,,,,,,
2023,RO,1101435,11017333,municipal,fundamental,finais (6-9),,,,,,,
2011,RO,1101559,11017384,estadual,fundamental,iniciais (1-5),"94,4","0,94487202",,,,,"4,3"
2013,RO,1100155,11017422,estadual,fundamental,iniciais (1-5),,,,,,,"3,5"
2019,RO,1100155,11017422,estadual,medio,todos (1-4),"94,1","0,93826902",,,,,
2023,RO,1100155,11017430,estadual,fundamental,iniciais (1-5),,,,,,,
2011,RO,1100155,11017430,estadual,fundamental,finais (6-9),,,,,,,
2023,RO,1101559,11017660,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1101559,11017660,municipal,fundamental,finais (6-9),,,,,,,"5,1"
2005,RO,1101559,11017660,municipal,fundamental,iniciais (1-5),,,,,,,
2013,RO,1101559,11017660,municipal,fundamental,iniciais (1-5),,,,,,,"4,6"
2013,RO,1101559,11017660,municipal,fundamental,finais (6-9),,,,,,,4
2023,RO,1101559,11017660,municipal,fundamental,finais (6-9),,,,,,,
2021,RO,1100155,11017775,estadual,medio,todos (1-4),"80,6","0,790717",,,,,"3,7"
2017,RO,1100155,11017775,estadual,fundamental,iniciais (1-5),,,,,,,"5,9"
2019,RO,1100155,11017775,estadual,fundamental,iniciais (1-5),,,,,,,"6,1"
2023,RO,1100155,11017791,estadual,fundamental,finais (6-9),,,,,,,
2023,RO,1100254,11017872,municipal,fundamental,finais (6-9),,,,,,,
2021,RO,1100254,11017872,municipal,fundamental,iniciais (1-5),"99,3","0,992352",,,,,"5,6"
2007,RO,1100254,11017988,estadual,fundamental,finais (6-9),,,,,,,
2019,RO,1100254,11017988,estadual,fundamental,iniciais (1-5),"98,1","0,98221898",,,,,"6,1"
2009,RO,1100254,11017988,estadual,fundamental,iniciais (1-5),,,,,,,
2011,RO,1100254,11018089,estadual,fundamental,iniciais (1-5),"89,2","0,86846799",,,,,"4,3"
2005,RO,1100254,11018143,municipal,fundamental,finais (6-9),,,,,,,
2015,RO,1100254,11018216,estadual,fundamental,iniciais (1-5),,,,,,,
2009,RO,1100254,11018216,estadual,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100254,11018810,estadual,fundamental,finais (6-9),"99,2","0,991902",,,,,"5,6"
2015,RO,1101005,11019034,municipal,fundamental,finais (6-9),,,,,,,"3,3"
2005,RO,1101005,11019034,municipal,fundamental,iniciais (1-5),,,,,,,
2005,RO,1101005,11019034,municipal,fundamental,finais (6-9),,,,,,,
2017,RO,1101005,11019115,estadual,fundamental,iniciais (1-5),,,,,,,"4,6"
2019,RO,1101005,11019140,estadual,fundamental,iniciais (1-5),,,,,,,"5,1"
2007,RO,1101005,11019190,municipal,fundamental,finais (6-9),,,,,,,
2015,RO,1101005,11019190,municipal,fundamental,iniciais (1-5),,,,,,,
2015,RO,1101005,11019190,municipal,fundamental,finais (6-9),,,,,,,"4,5"
2005,RO,1101005,11019190,municipal,fundamental,iniciais (1-5),,,,,,,
2005,RO,1101005,11019212,municipal,fundamental,iniciais (1-5),,,,,,,
2023,RO,1101005,11019212,municipal,fundamental,finais (6-9),,,,,,,
2005,RO,1101005,11019212,municipal,fundamental,finais (6-9),,,,,,,
2021,RO,1101005,11019212,municipal,fundamental,finais (6-9),,,,,,,"5,3"
2007,RO,1101005,11019212,municipal,fundamental,finais (6-9),,,,,,,
2009,RO,1101005,11019581,municipal,fundamental,finais (6-9),,,,,,,
2011,RO,1101005,11019581,municipal,fundamental,iniciais (1-5),95,"0,947348",,,,,
2021,RO,1101302,11019727,municipal,fundamental,iniciais (1-5),,,,,,,"5,7"
2011,RO,1101302,11019727,municipal,fundamental,finais (6-9),,,,,,,
2007,RO,1101302,11019727,municipal,fundamental,iniciais (1-5),,,,,,,
2017,RO,1101302,11019743,estadual,fundamental,finais (6-9),"96,8","0,96873099",,,,,"4,3"
2021,RO,1101302,11019743,estadual,fundamental,iniciais (1-5),,,,,,,"5,9"
2015,RO,1101302,11019743,estadual,fundamental,finais (6-9),"77,1","0,77248102",,,,,4
2009,RO,1101302,11019778,municipal,fundamental,iniciais (1-5),,,,,,,
2015,RO,1101302,11019778,municipal,fundamental,finais (6-9),,,,,,,"4,9"
2017,RO,1101302,11019948,estadual,medio,todos (1-4),"77,9","0,752904",,,,,
2021,RO,1101302,11019948,estadual,fundamental,iniciais (1-5),,,,,,,"6,2"
2019,RO,1101302,11019948,estadual,fundamental,iniciais (1-5),,,,,,,"5,9"
2021,RO,1101302,11019956,privada,medio,todos (1-4),,,,,,,"5,3"
2017,RO,1101609,11020296,municipal,fundamental,iniciais (1-5),,,,,,,"5,1"
2013,RO,1101609,11020296,municipal,fundamental,finais (6-9),,,,,,,
2015,RO,1101609,11020296,municipal,fundamental,iniciais (1-5),,,,,,,"4,8"
2017,RO,1101609,11020296,municipal,fundamental,finais (6-9),,,,,,,
2005,RO,1101708,11020482,municipal,fundamental,finais (6-9),,,,,,,
2021,RO,1101708,11020482,municipal,fundamental,iniciais (1-5),,,,,,,"5,8"
2007,RO,1101708,11020490,municipal,fundamental,finais (6-9),,,,,,,
2013,RO,1101708,11020490,municipal,fundamental,finais (6-9),,,,,,,
2017,RO,1101708,11020504,estadual,fundamental,iniciais (1-5),,,,,,,5
2007,RO,1101708,11020504,estadual,fundamental,iniciais (1-5),,,,,,,"3,3"
2011,RO,1101708,11020504,estadual,fundamental,iniciais (1-5),,,,,,,"4,1"
2023,RO,1101708,11020512,municipal,fundamental,iniciais (1-5),,,,,,,
2015,RO,1101708,11020610,municipal,fundamental,iniciais (1-5),,,,,,,"5,1"
2019,RO,1101708,11020822,municipal,fundamental,iniciais (1-5),,,,,,,"6,2"
2021,RO,1101708,11020822,municipal,fundamental,finais (6-9),,,,,,,"5,9"
2023,RO,1101708,11020822,municipal,fundamental,finais (6-9),,,,,,,
2005,RO,1101708,11020822,municipal,fundamental,iniciais (1-5),,,,,,,
2007,RO,1101708,11020822,municipal,fundamental,finais (6-9),,,,,,,
2021,RO,1101708,11020873,municipal,fundamental,finais (6-9),,,,,,,"5,3"
2005,RO,1101807,11021217,municipal,fundamental,finais (6-9),,,,,,,
2021,RO,1101807,11021403,estadual,medio,todos (1-4),"98,1","0,980552",,,,,"4,4"
2005,RO,1100148,11021918,municipal,fundamental,finais (6-9),,,,,,,
2015,RO,1100148,11022108,municipal,fundamental,iniciais (1-5),,,,,,,"4,8"
2021,RO,1100148,11022108,municipal,fundamental,finais (6-9),100,1,,,,,"4,7"
2011,RO,1100148,11022116,municipal,fundamental,finais (6-9),,,,,,,"3,2"
2005,RO,1100148,11022205,estadual,fundamental,finais (6-9),,,,,,,
2021,RO,1100148,11022221,estadual,medio,todos (1-4),"81,3","0,820361",,,,,"4,8"
2015,RO,1100148,11022221,estadual,fundamental,finais (6-9),,,,,,,"4,4"
2011,RO,1100148,11022221,estadual,fundamental,iniciais (1-5),,,,,,,"4,7"
2023,RO,1100148,11022221,estadual,fundamental,finais (6-9),,,,,,,
2007,RO,1100320,11022370,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100320,11022370,municipal,fundamental,iniciais (1-5),,,,,,,5
2019,RO,1100320,11022388,municipal,fundamental,finais (6-9),"92,3","0,919581",,,,,"4,7"
2009,RO,1100320,11022388,municipal,fundamental,finais (6-9),,,,,,,
2021,RO,1100320,11022450,estadual,fundamental,finais (6-9),"99,8","0,998241",,,,,"5,2"
2005,RO,1100320,11022469,municipal,fundamental,iniciais (1-5),,,,,,,
2015,RO,1100320,11022469,municipal,fundamental,iniciais (1-5),"98,1","0,97826099",,,,,"4,8"
2023,RO,1100320,11022760,municipal,fundamental,finais (6-9),,,,,,,
2015,RO,1100320,11022809,municipal,fundamental,finais (6-9),,,,,,,"4,1"
2021,RO,1100320,11022841,municipal,fundamental,iniciais (1-5),100,1,,,,,"5,8"
2005,RO,1100320,11022949,municipal,fundamental,finais (6-9),,,,,,,
2023,RO,1100320,11022949,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100320,11022949,municipal,fundamental,finais (6-9),100,1,,,,,"5,3"
2017,RO,1100320,11022981,estadual,medio,todos (1-4),"97,6","0,97727698",,,,,
2017,RO,1100320,11022981,estadual,fundamental,iniciais (1-5),,,,,,,"5,9"
2015,RO,1100346,11023309,municipal,fundamental,finais (6-9),,,,,,,"4,5"
2017,RO,1100346,11023309,municipal,fundamental,iniciais (1-5),,,,,,,"4,8"
2017,RO,1100346,11023341,municipal,fundamental,iniciais (1-5),,,,,,,"5,4"
2021,RO,1100346,11023341,municipal,fundamental,finais (6-9),,,,,,,"5,4"
2015,RO,1100346,11023341,municipal,fundamental,iniciais (1-5),,,,,,,"5,1"
2005,RO,1100346,11023341,municipal,fundamental,iniciais (1-5),,,,,,,
2013,RO,1100346,11023430,estadual,fundamental,iniciais (1-5),,,,,,,
2007,RO,1100346,11023449,municipal,fundamental,iniciais (1-5),,,,,,,
2023,RO,1100346,11023449,municipal,fundamental,iniciais (1-5),,,,,,,
2023,RO,1100346,11023449,municipal,fundamental,finais (6-9),"98,8","0,984567",,,,,
2011,RO,1101708,11023473,municipal,fundamental,finais (6-9),,,,,,,"2,4"
2011,RO,1101708,11023473,municipal,fundamental,iniciais (1-5),,,,,,,"3,5"
2021,RO,1101708,11023473,municipal,fundamental,iniciais (1-5),100,1,,,,,5
2015,RO,1101708,11023473,municipal,fundamental,finais (6-9),,,,,,,"3,2"
2005,RO,1100346,11023490,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100346,11023490,municipal,fundamental,iniciais (1-5),,,,,,,"5,6"
2009,RO,1100346,11023554,municipal,fundamental,iniciais (1-5),,,,,,,
2015,RO,1100346,11023554,municipal,fundamental,iniciais (1-5),,,,,,,
2007,RO,1101500,11024046,municipal,fundamental,iniciais (1-5),,,,,,,
2019,RO,1101500,11024135,municipal,fundamental,finais (6-9),,,,,,,"5,3"
2023,RO,1101500,11024224,municipal,fundamental,finais (6-9),,,,,,,
2009,RO,1100015,11024666,municipal,fundamental,iniciais (1-5),,,,,,,
2015,RO,1100015,11024666,municipal,fundamental,finais (6-9),"87,2","0,886931",,,,,"4,9"
2015,RO,1100015,11024682,estadual,fundamental,finais (6-9),"77,9","0,80485201",,,,,"5,1"
2019,RO,1100015,11024682,estadual,fundamental,finais (6-9),,,,,,,"5,6"
2021,RO,1100015,11024682,estadual,fundamental,finais (6-9),,,,,,,"5,8"
2017,RO,1100379,11024690,municipal,fundamental,finais (6-9),"84,8","0,82294703",,,,,"4,7"
2015,RO,1100015,11024828,municipal,fundamental,finais (6-9),"79,3","0,78821498",,,,,"3,4"
2005,RO,1100015,11024828,municipal,fundamental,finais (6-9),,,,,,,
2015,RO,1100015,11024917,municipal,fundamental,finais (6-9),,,,,,,"4,2"
2011,RO,1100015,11024917,municipal,fundamental,finais (6-9),,,,,,,"3,6"
2005,RO,1100379,11025050,municipal,fundamental,iniciais (1-5),,,,,,,
2019,RO,1100015,11025077,municipal,fundamental,finais (6-9),,,,,,,"3,2"
2015,RO,1100015,11025077,municipal,fundamental,finais (6-9),,,,,,,"2,7"
2009,RO,1100015,11025077,municipal,fundamental,finais (6-9),,,,,,,
2021,RO,1100015,11025115,municipal,fundamental,finais (6-9),,,,,,,"4,6"
2005,RO,1100015,11025115,municipal,fundamental,finais (6-9),,,,,,,
2023,RO,1100015,11025115,municipal,fundamental,finais (6-9),,,,,,,
2013,RO,1100015,11025115,municipal,fundamental,finais (6-9),,,,,,,"3,4"
2015,RO,1100015,11025310,municipal,fundamental,iniciais (1-5),,,,,,,"4,8"
2005,RO,1100015,11025310,municipal,fundamental,iniciais (1-5),,,,,,,
2013,RO,1100015,11025310,municipal,fundamental,iniciais (1-5),"88,4","0,86720598",,,,,"4,5"
2007,RO,1100015,11025352,municipal,fundamental,finais (6-9),,,,,,,"3,2"
2007,RO,1100015,11025352,municipal,fundamental,iniciais (1-5),,,,,,,
2011,RO,1100379,11025492,municipal,fundamental,iniciais (1-5),"93,6","0,926395",,,,,"4,6"
2011,RO,1100015,11025620,estadual,fundamental,finais (6-9),"87,3","0,88992",,,,,"2,9"
2023,RO,1100015,11025620,estadual,fundamental,iniciais (1-5),,,,,,,
2017,RO,1100015,11025638,estadual,fundamental,iniciais (1-5),,,,,,,"5,4"
2019,RO,1100015,11025638,estadual,fundamental,iniciais (1-5),,,,,,,"5,7"
2019,RO,1100049,11025670,privada,medio,todos (1-4),,,,,,,"5,3"
2021,RO,1100049,11025999,municipal,fundamental,finais (6-9),100,1,,,,,"5,5"
2023,RO,1100049,11025999,municipal,fundamental,iniciais (1-5),,,,,,,
2017,RO,1100049,11026197,estadual,medio,todos (1-4),"76,5","0,76852298",,,,,
2011,RO,1100049,11026294,municipal,fundamental,finais (6-9),,,,,,,"4,8"
2013,RO,1100049,11026294,municipal,fundamental,iniciais (1-5),,,,,,,"4,8"
2005,RO,1100049,11026294,municipal,fundamental,iniciais (1-5),,,,,,,
2005,RO,1100049,11026367,municipal,fundamental,finais (6-9),,,,,,,
2007,RO,1100049,11026367,municipal,fundamental,finais (6-9),,,,,,,
2007,RO,1100049,11026626,estadual,fundamental,finais (6-9),,,,,,,"4,3"
2021,RO,1100049,11026626,estadual,fundamental,finais (6-9),,,,,,,"6,1"
2009,RO,1100049,11026685,municipal,fundamental,iniciais (1-5),,,,,,,
2011,RO,1100049,11026766,municipal,fundamental,iniciais (1-5),,,,,,,"4,2"
2005,RO,1100049,11026766,municipal,fundamental,iniciais (1-5),,,,,,,
2007,RO,1100049,11026936,municipal,fundamental,finais (6-9),,,,,,,
2005,RO,1100049,11026936,municipal,fundamental,finais (6-9),,,,,,,
2005,RO,1100049,11026936,municipal,fundamental,iniciais (1-5),,,,,,,
2009,RO,1100049,11026960,municipal,fundamental,finais (6-9),,,,,,,
2005,RO,1100049,11027088,municipal,fundamental,finais (6-9),,,,,,,
2007,RO,1100049,11027088,municipal,fundamental,finais (6-9),,,,,,,
2007,RO,1100049,11027347,estadual,fundamental,iniciais (1-5),,,,,,,4
2021,RO,1100049,11027347,estadual,fundamental,finais (6-9),"97,4","0,974",,,,,"5,5"
2017,RO,1100049,11027401,estadual,fundamental,iniciais (1-5),,,,,,,"4,8"
2017,RO,1100049,11027401,estadual,fundamental,finais (6-9),90,"0,90159798",,,,,"4,8"
2017,RO,1100049,11027401,estadual,medio,todos (1-4),"76,1","0,78651297",,,,,
2019,RO,1100049,11027401,estadual,fundamental,iniciais (1-5),,,,,,,"5,1"
2007,RO,1100098,11027487,municipal,fundamental,iniciais (1-5),,,,,,,
2007,RO,1100098,11027533,municipal,fundamental,finais (6-9),,,,,,,
2005,RO,1100098,11027533,municipal,fundamental,finais (6-9),,,,,,,
2021,RO,1100098,11027690,estadual,fundamental,iniciais (1-5),,,,,,,"6,5"
2005,RO,1100098,11027762,estadual,fundamental,finais (6-9),,,,,,,
2011,RO,1100098,11027878,estadual,fundamental,iniciais (1-5),"88,6","0,88903803",,,,,"3,8"
2013,RO,1100098,11027878,estadual,fundamental,iniciais (1-5),"96,9","0,96766502",,,,,"4,1"
2011,RO,1100098,11027886,municipal,fundamental,finais (6-9),,,,,,,
2023,RO,1100098,11027886,municipal,fundamental,iniciais (1-5),,,,,,,
2005,RO,1100098,11028335,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100098,11028394,estadual,fundamental,iniciais (1-5),,,,,,,"6,4"
2021,RO,1100098,11028394,estadual,fundamental,finais (6-9),,,,,,,"6,2"
2017,RO,1100098,11028394,estadual,fundamental,finais (6-9),,,,,,,"5,8"
2023,RO,1100288,11028840,municipal,fundamental,finais (6-9),,,,,,,
2021,RO,1100288,11028840,municipal,fundamental,finais (6-9),,,,,,,5
2021,RO,1100288,11029064,municipal,fundamental,iniciais (1-5),100,1,,,,,"6,3"
2017,RO,1100288,11029161,estadual,fundamental,finais (6-9),,,,,,,
2007,RO,1100288,11029161,estadual,fundamental,finais (6-9),,,,,,,
2023,RO,1100288,11029412,estadual,fundamental,iniciais (1-5),,,,,,,
2019,RO,1100288,11029412,estadual,fundamental,iniciais (1-5),,,,,,,"5,3"
2017,RO,1100288,11029439,estadual,fundamental,iniciais (1-5),,,,,,,6
2021,RO,1100288,11029439,estadual,fundamental,finais (6-9),,,,,,,5
2021,RO,1100288,11029455,estadual,fundamental,iniciais (1-5),,,,,,,"6,7"